,BUS_1 Load,BUS_2 Load,BUS_3 Load,BUS_4 Load,BUS_5 Load
2021-01-15 14:00,60.96666667,110,100,75,280
2021-01-15 15:00,60.63333333,80,100,75,280
2021-01-15 16:00,51.8,165,100,75,280
2021-01-15 17:00,54.23333333,215,100,75,280
2021-01-15 18:00,57.76666667,145,100,50,280
2021-01-15 19:00,58.76666667,155,100,50,280
2021-01-15 20:00,64.16666667,105,100,50,280
2021-01-15 21:00,66,160,100,50,280
2021-01-15 22:00,65.56666667,25,100,50,280
2021-01-15 23:00,53.96666667,210,100,50,280
2021-01-16 0:00,65.33333333,75,0,50,220
2021-01-16 1:00,51.7,70,0,50,220
2021-01-16 2:00,51.66666667,70,0,50,220
2021-01-16 3:00,53.26666667,125,0,50,220
2021-01-16 4:00,53.06666667,160,0,50,220
2021-01-16 5:00,64.2,125,0,50,220
2021-01-16 6:00,59.73333333,220,0,50,220
2021-01-16 7:00,52.63333333,105,0,50,220
2021-01-16 8:00,57.26666667,75,100,75,280
2021-01-16 9:00,52.56666667,195,100,75,280
2021-01-16 10:00,65.53333333,50,100,75,280
2021-01-16 11:00,64.66666667,25,100,75,280
2021-01-16 12:00,55.2,80,100,75,280
2021-01-16 13:00,55.13333333,225,100,75,280
2021-01-16 14:00,53.73333333,105,100,75,280
2021-01-16 15:00,58.06666667,115,100,75,280
2021-01-16 16:00,65.63333333,95,100,75,280
2021-01-16 17:00,61.43333333,190,100,75,280
2021-01-16 18:00,59.56666667,175,100,50,280
2021-01-16 19:00,64.63333333,195,100,50,280
2021-01-16 20:00,64.66666667,190,100,50,280
2021-01-16 21:00,64.23333333,195,100,50,280
2021-01-16 22:00,60.06666667,185,100,50,280
2021-01-16 23:00,62.03333333,185,100,50,280
2021-01-17 0:00,57.46666667,95,0,50,220
2021-01-17 1:00,64.16666667,185,0,50,220
2021-01-17 2:00,58.46666667,70,0,50,220
2021-01-17 3:00,51.3,195,0,50,220
2021-01-17 4:00,65.8,245,0,50,220
2021-01-17 5:00,55.16666667,130,0,50,220
2021-01-17 6:00,55.2,150,0,50,220
2021-01-17 7:00,62.6,215,0,50,220
2021-01-17 8:00,50.66666667,130,100,75,280
2021-01-17 9:00,53.63333333,210,100,75,280
2021-01-17 10:00,66.26666667,215,100,75,280
2021-01-17 11:00,62.96666667,175,100,75,280
2021-01-17 12:00,66.43333333,165,100,75,280
2021-01-17 13:00,58,245,100,75,280
2021-01-17 14:00,50.46666667,210,100,75,280
2021-01-17 15:00,55.6,15,100,75,280
2021-01-17 16:00,56.66666667,240,100,75,280
2021-01-17 17:00,50.86666667,185,100,75,280
2021-01-17 18:00,50.3,140,100,50,280
2021-01-17 19:00,55.56666667,175,100,50,280
2021-01-17 20:00,55.06666667,25,100,50,280
2021-01-17 21:00,62.13333333,125,100,50,280
2021-01-17 22:00,58.1,130,100,50,280
2021-01-17 23:00,64.63333333,185,100,50,280
2021-01-18 0:00,65.06666667,250,0,50,220
2021-01-18 1:00,63.63333333,50,0,50,220
2021-01-18 2:00,60.9,140,0,50,220
2021-01-18 3:00,52.33333333,210,0,50,220
2021-01-18 4:00,51.26666667,245,0,50,220
2021-01-18 5:00,51.1,20,0,50,220
2021-01-18 6:00,66.3,125,0,50,220
2021-01-18 7:00,65.53333333,165,0,50,220
2021-01-18 8:00,62.56666667,200,100,75,280
2021-01-18 9:00,60.6,130,100,75,280
2021-01-18 10:00,54.96666667,25,100,75,280
2021-01-18 11:00,62.53333333,55,100,75,280
2021-01-18 12:00,55.43333333,170,100,75,280
2021-01-18 13:00,60.53333333,35,100,75,280
2021-01-18 14:00,58.06666667,70,100,75,280
2021-01-18 15:00,61.36666667,195,100,75,280
2021-01-18 16:00,57.93333333,225,100,75,280
2021-01-18 17:00,66.56666667,15,100,75,280
2021-01-18 18:00,55.86666667,135,100,50,280
2021-01-18 19:00,64.96666667,15,100,50,280
2021-01-18 20:00,51.93333333,210,100,50,280
2021-01-18 21:00,53.96666667,160,100,50,280
2021-01-18 22:00,61,105,100,50,280
2021-01-18 23:00,60.83333333,0,100,50,280
2021-01-19 0:00,52.8,90,0,50,220
2021-01-19 1:00,51.93333333,150,0,50,220
2021-01-19 2:00,62.16666667,0,0,50,220
2021-01-19 3:00,53.83333333,105,0,50,220
2021-01-19 4:00,58.56666667,195,0,50,220
2021-01-19 5:00,53.63333333,50,0,50,220
2021-01-19 6:00,61.63333333,45,0,50,220
2021-01-19 7:00,60.06666667,90,0,50,220
2021-01-19 8:00,65.9,45,100,75,280
2021-01-19 9:00,51.43333333,95,100,75,280
2021-01-19 10:00,54.56666667,235,100,75,280
2021-01-19 11:00,52.83333333,240,100,75,280
2021-01-19 12:00,56.76666667,75,100,75,280
2021-01-19 13:00,64.7,40,100,75,280
2021-01-19 14:00,61.73333333,55,100,75,280
2021-01-19 15:00,62.46666667,65,100,75,280
2021-01-19 16:00,55.23333333,130,100,75,280
2021-01-19 17:00,63.66666667,60,100,75,280
2021-01-19 18:00,53.4,130,100,50,280
2021-01-19 19:00,57.03333333,55,100,50,280
2021-01-19 20:00,55.7,55,100,50,280
2021-01-19 21:00,64.63333333,140,100,50,280
2021-01-19 22:00,54.1,20,100,50,280
2021-01-19 23:00,66.4,190,100,50,280
2021-01-20 0:00,62.63333333,195,0,50,220
2021-01-20 1:00,62.03333333,100,0,50,220
2021-01-20 2:00,65.7,30,0,50,220
2021-01-20 3:00,65.46666667,100,0,50,220
2021-01-20 4:00,64.43333333,215,0,50,220
2021-01-20 5:00,55.06666667,50,0,50,220
2021-01-20 6:00,63.26666667,135,0,50,220
2021-01-20 7:00,60.46666667,20,0,50,220
2021-01-20 8:00,64.8,15,100,75,280
2021-01-20 9:00,55.66666667,155,100,75,280
2021-01-20 10:00,58.5,235,100,75,280
2021-01-20 11:00,62.46666667,100,100,75,280
2021-01-20 12:00,52.36666667,15,100,75,280
2021-01-20 13:00,59.83333333,65,100,75,280
2021-01-20 14:00,50.76666667,30,100,75,280
2021-01-20 15:00,52.3,10,100,75,280
2021-01-20 16:00,66.2,100,100,75,280
2021-01-20 17:00,51.33333333,110,100,75,280
2021-01-20 18:00,60.43333333,105,100,50,280
2021-01-20 19:00,58.66666667,205,100,50,280
2021-01-20 20:00,53.8,10,100,50,280
2021-01-20 21:00,65.23333333,175,100,50,280
2021-01-20 22:00,56.5,45,100,50,280
2021-01-20 23:00,58.93333333,20,100,50,280
2021-01-21 0:00,66.66666667,135,0,50,220
2021-01-21 1:00,51.3,120,0,50,220
2021-01-21 2:00,64.4,125,0,50,220
2021-01-21 3:00,53.63333333,110,0,50,220
2021-01-21 4:00,62.16666667,15,0,50,220
2021-01-21 5:00,61.63333333,70,0,50,220
2021-01-21 6:00,58.73333333,85,0,50,220
2021-01-21 7:00,63.4,135,0,50,220
2021-01-21 8:00,65.7,30,100,75,280
2021-01-21 9:00,53.36666667,65,100,75,280
2021-01-21 10:00,54.56666667,40,100,75,280
2021-01-21 11:00,62.1,125,100,75,280
2021-01-21 12:00,54.2,250,100,75,280
2021-01-21 13:00,57.5,145,100,75,280
2021-01-21 14:00,51.23333333,165,100,75,280
2021-01-21 15:00,52.7,70,100,75,280
2021-01-21 16:00,56.1,100,100,75,280
2021-01-21 17:00,62.66666667,25,100,75,280
2021-01-21 18:00,54.43333333,110,100,50,280
2021-01-21 19:00,55.96666667,45,100,50,280
2021-01-21 20:00,60.3,130,100,50,280
2021-01-21 21:00,52.5,100,100,50,280
2021-01-21 22:00,52.36666667,240,100,50,280
2021-01-21 23:00,52.4,55,100,50,280
2021-01-22 0:00,63.8,30,0,50,220
2021-01-22 1:00,55.76666667,35,0,50,220
2021-01-22 2:00,53,85,0,50,220
2021-01-22 3:00,52.3,15,0,50,220
2021-01-22 4:00,51.56666667,195,0,50,220
2021-01-22 5:00,54.93333333,170,0,50,220
2021-01-22 6:00,62.5,5,0,50,220
2021-01-22 7:00,52.6,135,0,50,220
2021-01-22 8:00,60.8,35,100,75,280
2021-01-22 9:00,59.13333333,250,100,75,280
2021-01-22 10:00,50.46666667,95,100,75,280
2021-01-22 11:00,56.4,200,100,75,280
2021-01-22 12:00,55.36666667,100,100,75,280
2021-01-22 13:00,64.53333333,245,100,75,280
2021-01-22 14:00,56.06666667,160,100,75,280
2021-01-22 15:00,52.73333333,55,100,75,280
2021-01-22 16:00,56.43333333,55,100,75,280
2021-01-22 17:00,51.2,125,100,75,280
2021-01-22 18:00,54,155,100,50,280
2021-01-22 19:00,52.03333333,170,100,50,280
2021-01-22 20:00,65.33333333,150,100,50,280
2021-01-22 21:00,59.43333333,135,100,50,280
2021-01-22 22:00,51.6,10,100,50,280
2021-01-22 23:00,60.6,10,100,50,280
2021-01-23 0:00,59.16666667,0,0,50,220
2021-01-23 1:00,52.93333333,200,0,50,220
2021-01-23 2:00,62.73333333,55,0,50,220
2021-01-23 3:00,56.26666667,115,0,50,220
2021-01-23 4:00,56.13333333,240,0,50,220
2021-01-23 5:00,55.6,175,0,50,220
2021-01-23 6:00,51.23333333,190,0,50,220
2021-01-23 7:00,62.26666667,140,0,50,220
2021-01-23 8:00,58.26666667,20,100,75,280
2021-01-23 9:00,59.66666667,85,100,75,280
2021-01-23 10:00,63.1,170,100,75,280
2021-01-23 11:00,50.8,130,100,75,280
2021-01-23 12:00,58.6,60,100,75,280
2021-01-23 13:00,51.03333333,220,100,75,280
2021-01-23 14:00,54.83333333,240,100,75,280
2021-01-23 15:00,58.4,200,100,75,280
2021-01-23 16:00,56.86666667,205,100,75,280
2021-01-23 17:00,57.63333333,95,100,75,280
2021-01-23 18:00,53.6,185,100,50,280
2021-01-23 19:00,52.7,55,100,50,280
2021-01-23 20:00,51.1,165,100,50,280
2021-01-23 21:00,55.2,45,100,50,280
2021-01-23 22:00,63.43333333,245,100,50,280
2021-01-23 23:00,56.1,75,100,50,280
2021-01-24 0:00,63.66666667,245,0,50,220
2021-01-24 1:00,63.7,215,0,50,220
2021-01-24 2:00,51.86666667,45,0,50,220
2021-01-24 3:00,61.76666667,105,0,50,220
2021-01-24 4:00,60.9,140,0,50,220
2021-01-24 5:00,66.43333333,120,0,50,220
2021-01-24 6:00,59.23333333,185,0,50,220
2021-01-24 7:00,57.13333333,215,0,50,220
2021-01-24 8:00,65.73333333,225,100,75,280
2021-01-24 9:00,60.43333333,110,100,75,280
2021-01-24 10:00,58.16666667,195,100,75,280
2021-01-24 11:00,64.66666667,235,100,75,280
2021-01-24 12:00,60.86666667,220,100,75,280
2021-01-24 13:00,64.2,25,100,75,280
2021-01-24 14:00,63.53333333,25,100,75,280
2021-01-24 15:00,52.2,245,100,75,280
2021-01-24 16:00,53.76666667,145,100,75,280
2021-01-24 17:00,64.86666667,125,100,75,280
2021-01-24 18:00,59.26666667,90,100,50,280
2021-01-24 19:00,66.03333333,100,100,50,280
